Alcoholic Beverages_p,Animal Products_p,Animal fats_p,"Aquatic Products, Other_p",Cereals - Excluding Beer_p,Eggs_p,"Fish, Seafood_p",Fruits - Excluding Wine_p,Meat_p,Milk - Excluding Butter_p,Offals_p,Oilcrops_p,Pulses_p,Spices_p,Starchy Roots_p,Stimulants_p,Sugar Crops_p,Sugar & Sweeteners_p,Treenuts_p,Vegetal Products_p,Vegetable Oils_p,Vegetables_p,Miscellaneous_p,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
0.2232,21.1078,0.2435,0.0,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0.0,0.0,0.0609,28.8922,0.0203,1.5014,0.0812,Fiji,30.0,3.700000047683716,0.00625,0.00022321428571428598,0.00591517857142857,0.00011160714285714299,896000.0
0.4797,31.2205,0.2505,0.0,13.0758,1.1632,3.8251,0.5434,11.1059,14.3706,0.501,0.3524,0.3099,0.0425,1.1123,1.0826,0.0,0.0042,0.1826,18.7816,0.0594,1.1038,0.433,Finland,24.9,2.5,0.854801953336951,0.0124434798336046,0.5606800506420689,0.281678422861277,5529000.0
0.1784,31.0849,0.2677,0.0,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0.0,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535,France,23.2,2.5,5.199054511857099,0.12155836156452099,0.367876501385895,4.7096196489066795,64940000.0
0.6967,24.3394,0.0188,0.0,15.1258,0.1695,5.2846,1.6507,14.6928,1.7071,2.4666,3.3264,0.069,0.0,3.3202,0.1004,0.0063,0.0,0.0126,25.6637,0.0126,0.9352,0.4017,Gabon,13.4,10.5,0.51353653070372,0.00318242940385477,0.483953384132676,0.0264007171671896,2231000.0
0.2116,13.0026,0.0078,0.0,26.686999999999998,0.3213,6.7403,0.0705,2.3513,3.3702,0.2116,8.0649,0.4232,0.0078,0.1332,0.4232,0.0,0.0,0.1019,37.0013,0.0157,0.6427,0.2116,Gambia,8.7,10.199999809265137,0.175299958626396,0.00554406288787753,0.160777823748448,0.00897807199007034,2417000.0
0.1495,18.4294,0.16899999999999998,0.0,27.2574,1.1636,1.4822,0.3835,6.7867,8.2299,0.5981,0.299,0.013000000000000001,0.0715,1.2936,0.6436,0.0,0.0065,0.2665,31.5673,0.026000000000000002,0.8906,0.273,Georgia,23.3,7.900000095367432,7.04226110363392,0.0879946164199192,6.80524899057873,0.149017496635262,3715000.0
0.6525,30.2658,0.3023,0.0,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0.0,0.0048,0.7005,19.7342,0.0288,1.7033,0.0,Germany,25.7,2.5,2.7431008403361297,0.073890756302521,2.45136614645858,0.21784393757502998,83300000.0
0.1509,12.1922,0.0079,0.0,16.2272,0.2701,6.6164,2.5417,4.1064,0.5878,0.5957,2.5576,3.2089,1.2073,10.8181,0.0159,0.0318,0.0,0.1191,37.8157,0.0159,0.8419,0.0715,Ghana,9.7,5.5,0.22542400154474898,0.00144498439159399,0.20436391722717498,0.0196150999259808,31073000.0
0.2376,26.9807,0.0998,0.0,14.543,1.2737,2.6995,0.9981,10.9548,11.0689,0.884,0.6036,1.3593,0.0665,1.1121,0.6273,0.0,0.0095,0.8887,23.0217,0.0285,2.3193,0.2234,Greece,27.4,2.5,1.5253551401869199,0.0556168224299065,0.876299065420561,0.593439252336449,10700000.0
0.1204,30.3273,0.0567,0.0,12.2414,1.8631,5.9719,1.4452,15.3939,6.5812,0.4605,0.5809,2.6991,0.5667,0.6801,0.1204,0.0,0.0,0.0425,19.6727,0.0283,0.7793,0.3684,Grenada,20.2,5.099999952316284,0.13097345132743402,0.000884955752212389,0.129203539823009,0.000884955752212389,113000.0
