Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals - Excluding Beer_kcal,Eggs_kcal,"Fish, Seafood_kcal",Fruits - Excluding Wine_kcal,Meat_kcal,Milk - Excluding Butter_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar & Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
0.0301,4.1999,0.5269,0.0,32.2144,0.1957,0.6322,2.5591,1.6408,0.9935,0.0151,0.2107,0.7828,0.6624,0.1204,1.2645,0.0452,0.3462,4.0644,0.0602,45.7926,2.0623,1.5806,Egypt,31.1,4.5,0.16775889606460098,0.00952749422140214,0.131002053510312,0.0272293483328869,100803000.0
0.9019,7.9857,1.3717,0.0,22.6043,0.5825,0.2818,1.9917,2.2924,3.4198,0.2443,0.0564,1.4092,2.95,0.0188,1.2026,0.1691,0.0,7.1965,0.0376,41.9955,2.1984,1.0898,El Salvador,22.7,9.0,0.867721030705138,0.0258139176053078,0.778136090109551,0.0637710229902793,6481000.0
4.8389999999999995,15.3336,1.9572,0.0,16.2121,0.7397,0.33899999999999997,1.5411,4.3612,7.8132,0.0462,0.1387,0.1387,0.4315,0.1541,2.25,1.125,0.0,3.7756,0.4469,34.6741,2.4503,1.2329,Estonia,23.8,2.9000000953674316,3.5696468820435796,0.0342599549211119,2.8285499624342596,0.7068369646882041,1331000.0
1.5593,5.5925,0.5198,0.0,27.5468,0.1247,0.1663,1.4969,2.7651,1.8295,0.1663,0.1663,0.7277,0.7277,0.3326,2.8274,0.0416,0.0,6.7152,0.1247,44.4075,1.7464,0.4158,Eswatini,13.5,20.600000381469727,1.4656702898550702,0.0547101449275362,1.03885869565217,0.37210144927536204,1104000.0
0.4774,2.0182,0.1519,0.0,31.5321,0.0434,0.0217,0.2821,0.6509999999999999,1.1068,0.0,0.0651,0.4123,4.4705,0.5859,6.1198,0.0651,0.0,1.8663,0.0868,47.9601,1.8012,0.2821,Ethiopia,3.6,20.600000381469727,0.123092519753559,0.00186658080685022,0.109237181941592,0.0119887570051168,114916000.0
0.7322,8.4795,2.2476,0.0,18.1338,0.2724,1.1238,0.63,3.5587,1.1749,0.0681,0.1192,3.5076,1.8219,0.1192,4.3419,0.2384,0.0,5.9254,0.0511,41.512,5.1081,0.8343,Fiji,30.0,3.700000047683716,0.00625,0.00022321428571428598,0.00591517857142857,0.00011160714285714299,896000.0
2.4873,19.2239,2.4273,0.0,14.504000000000001,0.5094,0.9440000000000001,1.6032,7.9562,7.267,0.4495,0.1199,0.2997,0.1648,0.045,1.6931,0.5993,0.0,4.525,0.2397,30.7761,3.2814,0.884,Finland,24.9,2.5,0.854801953336951,0.0124434798336046,0.5606800506420689,0.281678422861277,5529000.0
1.9955,16.9899,3.6818,0.0,13.8983,0.6183,0.8994,1.6582,6.1551,5.3963,0.0562,0.2389,0.3513,0.2389,0.0422,1.321,0.4356,0.0,5.5509,0.4216,33.0101,6.0568,0.9837,France,23.2,2.5,5.199054511857099,0.12155836156452099,0.367876501385895,4.7096196489066795,64940000.0
2.0617,7.1874,0.1513,0.0,18.0064,0.0567,1.0781,5.2771,4.4638,0.9835,0.3215,0.4539,2.3454,0.0378,0.0,8.398,0.1702,0.0189,2.7237,0.0189,42.8031,2.8939,0.5485,Gabon,13.4,10.5,0.51353653070372,0.00318242940385477,0.483953384132676,0.0264007171671896,2231000.0
0.3543,3.7394,0.0787,0.0,26.8845,0.0984,1.1021,0.1771,0.6298,1.791,0.1771,0.0394,4.8219,0.1574,0.0,0.3543,0.0787,0.0,5.5895,0.0787,46.2704,7.282,0.2952,Gambia,8.7,10.199999809265137,0.175299958626396,0.00554406288787753,0.160777823748448,0.00897807199007034,2417000.0
1.2367,8.8138,1.6025,0.0,25.6053,0.4006,0.2613,0.8361,2.3689,4.0759,0.2264,0.0871,0.1916,0.0,0.0523,1.4806,0.8361,0.0,6.6539,0.2961,41.1949,3.205,0.5748,Georgia,23.3,7.900000095367432,7.04226110363392,0.0879946164199192,6.80524899057873,0.149017496635262,3715000.0
